Logging to experiments/20250223_030933
---------------------------------
| rollout/           |          |
| train/                  |            |
|    approx_kl            | 0.00447894 |
|    clip_fraction        | 0.0497     |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.43      |
|    explained_variance   | 0.584      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0711     |
|    n_updates            | 2800       |
|    policy_gradient_loss | -0.00157   |
|    value_loss           | 0.00834    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 90.5        |
|    ep_rew_mean          | 0.163       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 282         |
|    time_elapsed         | 1020        |
|    total_timesteps      | 577536      |
| train/                  |             |
|    approx_kl            | 0.011491492 |
|    clip_fraction        | 0.0622      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.319      |
|    explained_variance   | 0.804       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.027      |
|    n_updates            | 2810        |
|    policy_gradient_loss | -0.00775    |
|    value_loss           | 0.00228     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 92.4        |
|    ep_rew_mean          | 0.18        |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 283         |
|    time_elapsed         | 1023        |
|    total_timesteps      | 579584      |
| train/                  |             |
|    approx_kl            | 0.011771816 |
|    clip_fraction        | 0.0506      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.265      |
|    explained_variance   | 0.834       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.000414    |
|    n_updates            | 2820        |
|    policy_gradient_loss | -0.00499    |
|    value_loss           | 0.00251     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 98.1        |
|    ep_rew_mean          | 0.141       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 284         |
|    time_elapsed         | 1027        |
|    total_timesteps      | 581632      |
| train/                  |             |
|    approx_kl            | 0.013930944 |
|    clip_fraction        | 0.0634      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.47       |
|    explained_variance   | 0.612       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0126     |
|    n_updates            | 2830        |
|    policy_gradient_loss | -0.00236    |
|    value_loss           | 0.00464     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 99.1         |
|    ep_rew_mean          | 0.13         |
| time/                   |              |
|    fps                  | 566          |
|    iterations           | 285          |
|    time_elapsed         | 1030         |
|    total_timesteps      | 583680       |
| train/                  |              |
|    approx_kl            | 0.0040602935 |
|    clip_fraction        | 0.0469       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.35        |
|    explained_variance   | 0.754        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00317     |
|    n_updates            | 2840         |
|    policy_gradient_loss | -0.00531     |
|    value_loss           | 0.00295      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 96.3         |
|    ep_rew_mean          | 0.125        |
| time/                   |              |
|    fps                  | 566          |
|    iterations           | 286          |
|    time_elapsed         | 1034         |
|    total_timesteps      | 585728       |
| train/                  |              |
|    approx_kl            | 0.0043483023 |
|    clip_fraction        | 0.0508       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.283       |
|    explained_variance   | 0.811        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00837     |
|    n_updates            | 2850         |
|    policy_gradient_loss | -0.00879     |
|    value_loss           | 0.00258      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 89.1        |
|    ep_rew_mean          | 0.155       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 287         |
|    time_elapsed         | 1038        |
|    total_timesteps      | 587776      |
| train/                  |             |
|    approx_kl            | 0.010852509 |
|    clip_fraction        | 0.0735      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.334      |
|    explained_variance   | 0.482       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0378     |
|    n_updates            | 2860        |
|    policy_gradient_loss | -0.00829    |
|    value_loss           | 0.00289     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 90.6        |
|    ep_rew_mean          | 0.144       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 288         |
|    time_elapsed         | 1041        |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.004647921 |
|    clip_fraction        | 0.0463      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.327      |
|    explained_variance   | 0.74        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0134     |
|    n_updates            | 2870        |
|    policy_gradient_loss | -0.00709    |
|    value_loss           | 0.0054      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 86          |
|    ep_rew_mean          | 0.17        |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 289         |
|    time_elapsed         | 1045        |
|    total_timesteps      | 591872      |
| train/                  |             |
|    approx_kl            | 0.010508524 |
|    clip_fraction        | 0.0673      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.31       |
|    explained_variance   | 0.699       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0305     |
|    n_updates            | 2880        |
|    policy_gradient_loss | -0.0119     |
|    value_loss           | 0.00182     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 82.4        |
|    ep_rew_mean          | 0.194       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 290         |
|    time_elapsed         | 1049        |
|    total_timesteps      | 593920      |
| train/                  |             |
|    approx_kl            | 0.008276407 |
|    clip_fraction        | 0.0907      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.49       |
|    explained_variance   | 0.782       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0435     |
|    n_updates            | 2890        |
|    policy_gradient_loss | -0.0143     |
|    value_loss           | 0.00674     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 82.8         |
|    ep_rew_mean          | 0.205        |
| time/                   |              |
|    fps                  | 566          |
|    iterations           | 291          |
|    time_elapsed         | 1052         |
|    total_timesteps      | 595968       |
| train/                  |              |
|    approx_kl            | 0.0061172782 |
|    clip_fraction        | 0.0614       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.39        |
|    explained_variance   | 0.416        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00746      |
|    n_updates            | 2900         |
|    policy_gradient_loss | -0.0116      |
|    value_loss           | 0.00352      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 78.5        |
|    ep_rew_mean          | 0.24        |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 292         |
|    time_elapsed         | 1056        |
|    total_timesteps      | 598016      |
| train/                  |             |
|    approx_kl            | 0.008035773 |
|    clip_fraction        | 0.0848      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.471      |
|    explained_variance   | 0.661       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00445     |
|    n_updates            | 2910        |
|    policy_gradient_loss | -0.00948    |
|    value_loss           | 0.00434     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 83.6         |
|    ep_rew_mean          | 0.203        |
| time/                   |              |
|    fps                  | 566          |
|    iterations           | 293          |
|    time_elapsed         | 1059         |
|    total_timesteps      | 600064       |
| train/                  |              |
|    approx_kl            | 0.0026662499 |
|    clip_fraction        | 0.041        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.344       |
|    explained_variance   | 0.532        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0046       |
|    n_updates            | 2920         |
|    policy_gradient_loss | -0.000909    |
|    value_loss           | 0.00682      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 82.5        |
|    ep_rew_mean          | 0.215       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 294         |
|    time_elapsed         | 1063        |
|    total_timesteps      | 602112      |
| train/                  |             |
|    approx_kl            | 0.014784467 |
|    clip_fraction        | 0.102       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.424      |
|    explained_variance   | 0.817       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.015       |
|    n_updates            | 2930        |
|    policy_gradient_loss | -0.00661    |
|    value_loss           | 0.00271     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 82.9        |
|    ep_rew_mean          | 0.198       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 295         |
|    time_elapsed         | 1066        |
|    total_timesteps      | 604160      |
| train/                  |             |
|    approx_kl            | 0.008843241 |
|    clip_fraction        | 0.111       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.576      |
|    explained_variance   | 0.649       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0227     |
|    n_updates            | 2940        |
|    policy_gradient_loss | -0.0071     |
|    value_loss           | 0.00948     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 86.6        |
|    ep_rew_mean          | 0.171       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 296         |
|    time_elapsed         | 1070        |
|    total_timesteps      | 606208      |
| train/                  |             |
|    approx_kl            | 0.045789655 |
|    clip_fraction        | 0.0927      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.354      |
|    explained_variance   | 0.724       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0213     |
|    n_updates            | 2950        |
|    policy_gradient_loss | -0.0132     |
|    value_loss           | 0.00349     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 82.9         |
|    ep_rew_mean          | 0.215        |
| time/                   |              |
|    fps                  | 566          |
|    iterations           | 297          |
|    time_elapsed         | 1074         |
|    total_timesteps      | 608256       |
| train/                  |              |
|    approx_kl            | 0.0065259454 |
|    clip_fraction        | 0.0672       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.515       |
|    explained_variance   | 0.666        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00882     |
|    n_updates            | 2960         |
|    policy_gradient_loss | -0.00315     |
|    value_loss           | 0.00516      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 85.1        |
|    ep_rew_mean          | 0.196       |
| time/                   |             |
|    fps                  | 566         |
|    iterations           | 298         |
|    time_elapsed         | 1078        |
|    total_timesteps      | 610304      |
| train/                  |             |
|    approx_kl            | 0.011128558 |
|    clip_fraction        | 0.0878      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.444      |
|    explained_variance   | 0.63        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0386     |
|    n_updates            | 2970        |
|    policy_gradient_loss | -0.00795    |
|    value_loss           | 0.00759     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 84.5         |
|    ep_rew_mean          | 0.183        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 299          |
|    time_elapsed         | 1082         |
|    total_timesteps      | 612352       |
| train/                  |              |
|    approx_kl            | 0.0071192454 |
|    clip_fraction        | 0.0669       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.428       |
|    explained_variance   | 0.784        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00584     |
|    n_updates            | 2980         |
|    policy_gradient_loss | -0.00193     |
|    value_loss           | 0.00406      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 80.7        |
|    ep_rew_mean          | 0.209       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 300         |
|    time_elapsed         | 1085        |
|    total_timesteps      | 614400      |
| train/                  |             |
|    approx_kl            | 0.008491079 |
|    clip_fraction        | 0.06        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.385      |
|    explained_variance   | 0.706       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0105      |
|    n_updates            | 2990        |
|    policy_gradient_loss | -0.00306    |
|    value_loss           | 0.0039      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 78.4         |
|    ep_rew_mean          | 0.23         |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 301          |
|    time_elapsed         | 1089         |
|    total_timesteps      | 616448       |
| train/                  |              |
|    approx_kl            | 0.0038375813 |
|    clip_fraction        | 0.0447       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.295       |
|    explained_variance   | 0.616        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0152       |
|    n_updates            | 3000         |
|    policy_gradient_loss | -0.00517     |
|    value_loss           | 0.00646      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 79.6        |
|    ep_rew_mean          | 0.216       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 302         |
|    time_elapsed         | 1092        |
|    total_timesteps      | 618496      |
| train/                  |             |
|    approx_kl            | 0.009427408 |
|    clip_fraction        | 0.057       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.584      |
|    explained_variance   | 0.704       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00612     |
|    n_updates            | 3010        |
|    policy_gradient_loss | -0.00424    |
|    value_loss           | 0.00625     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 84.5         |
|    ep_rew_mean          | 0.206        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 303          |
|    time_elapsed         | 1096         |
|    total_timesteps      | 620544       |
| train/                  |              |
|    approx_kl            | 0.0031883917 |
|    clip_fraction        | 0.0292       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.239       |
|    explained_variance   | 0.808        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0484       |
|    n_updates            | 3020         |
|    policy_gradient_loss | -0.005       |
|    value_loss           | 0.00227      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 91.3        |
|    ep_rew_mean          | 0.151       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 304         |
|    time_elapsed         | 1100        |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.018607233 |
|    clip_fraction        | 0.0685      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.362      |
|    explained_variance   | 0.918       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0136      |
|    n_updates            | 3030        |
|    policy_gradient_loss | -0.00298    |
|    value_loss           | 0.00179     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 90.9        |
|    ep_rew_mean          | 0.14        |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 305         |
|    time_elapsed         | 1103        |
|    total_timesteps      | 624640      |
| train/                  |             |
|    approx_kl            | 0.014451388 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.611      |
|    explained_variance   | 0.821       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.024      |
|    n_updates            | 3040        |
|    policy_gradient_loss | -0.0101     |
|    value_loss           | 0.00293     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 95.4        |
|    ep_rew_mean          | 0.113       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 306         |
|    time_elapsed         | 1107        |
|    total_timesteps      | 626688      |
| train/                  |             |
|    approx_kl            | 0.010855587 |
|    clip_fraction        | 0.0906      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.443      |
|    explained_variance   | 0.231       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0179     |
|    n_updates            | 3050        |
|    policy_gradient_loss | -0.0101     |
|    value_loss           | 0.00828     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 98          |
|    ep_rew_mean          | 0.111       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 307         |
|    time_elapsed         | 1111        |
|    total_timesteps      | 628736      |
| train/                  |             |
|    approx_kl            | 0.009271594 |
|    clip_fraction        | 0.0827      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.444      |
|    explained_variance   | 0.77        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0147     |
|    n_updates            | 3060        |
|    policy_gradient_loss | -0.00893    |
|    value_loss           | 0.0026      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 94         |
|    ep_rew_mean          | 0.117      |
| time/                   |            |
|    fps                  | 565        |
|    iterations           | 308        |
|    time_elapsed         | 1114       |
|    total_timesteps      | 630784     |
| train/                  |            |
|    approx_kl            | 0.01594492 |
|    clip_fraction        | 0.108      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.474     |
|    explained_variance   | 0.768      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0308    |
|    n_updates            | 3070       |
|    policy_gradient_loss | -0.00828   |
|    value_loss           | 0.00183    |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 93.7        |
|    ep_rew_mean          | 0.13        |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 309         |
|    time_elapsed         | 1118        |
|    total_timesteps      | 632832      |
| train/                  |             |
|    approx_kl            | 0.004870458 |
|    clip_fraction        | 0.0488      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.303      |
|    explained_variance   | 0.731       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0173      |
|    n_updates            | 3080        |
|    policy_gradient_loss | -0.00643    |
|    value_loss           | 0.00195     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 101          |
|    ep_rew_mean          | 0.114        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 310          |
|    time_elapsed         | 1121         |
|    total_timesteps      | 634880       |
| train/                  |              |
|    approx_kl            | 0.0064141317 |
|    clip_fraction        | 0.0936       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.587       |
|    explained_variance   | 0.533        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0162       |
|    n_updates            | 3090         |
|    policy_gradient_loss | -0.000295    |
|    value_loss           | 0.00536      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 98          |
|    ep_rew_mean          | 0.128       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 311         |
|    time_elapsed         | 1125        |
|    total_timesteps      | 636928      |
| train/                  |             |
|    approx_kl            | 0.003959997 |
|    clip_fraction        | 0.0731      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.579      |
|    explained_variance   | 0.441       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0216     |
|    n_updates            | 3100        |
|    policy_gradient_loss | -0.00574    |
|    value_loss           | 0.00215     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 92.4         |
|    ep_rew_mean          | 0.136        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 312          |
|    time_elapsed         | 1129         |
|    total_timesteps      | 638976       |
| train/                  |              |
|    approx_kl            | 0.0068485807 |
|    clip_fraction        | 0.0711       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.652       |
|    explained_variance   | 0.418        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0154      |
|    n_updates            | 3110         |
|    policy_gradient_loss | -0.00468     |
|    value_loss           | 0.00514      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 87.2         |
|    ep_rew_mean          | 0.193        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 313          |
|    time_elapsed         | 1132         |
|    total_timesteps      | 641024       |
| train/                  |              |
|    approx_kl            | 0.0064332546 |
|    clip_fraction        | 0.065        |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.406       |
|    explained_variance   | 0.436        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0248      |
|    n_updates            | 3120         |
|    policy_gradient_loss | -0.00395     |
|    value_loss           | 0.00524      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 84.5         |
|    ep_rew_mean          | 0.202        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 314          |
|    time_elapsed         | 1136         |
|    total_timesteps      | 643072       |
| train/                  |              |
|    approx_kl            | 0.0026206682 |
|    clip_fraction        | 0.0246       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.449       |
|    explained_variance   | 0.44         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00493      |
|    n_updates            | 3130         |
|    policy_gradient_loss | -0.0016      |
|    value_loss           | 0.00894      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 85.3         |
|    ep_rew_mean          | 0.19         |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 315          |
|    time_elapsed         | 1140         |
|    total_timesteps      | 645120       |
| train/                  |              |
|    approx_kl            | 0.0072579696 |
|    clip_fraction        | 0.0668       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.385       |
|    explained_variance   | 0.796        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.00488      |
|    n_updates            | 3140         |
|    policy_gradient_loss | -0.00914     |
|    value_loss           | 0.0027       |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 90.3         |
|    ep_rew_mean          | 0.188        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 316          |
|    time_elapsed         | 1143         |
|    total_timesteps      | 647168       |
| train/                  |              |
|    approx_kl            | 0.0075217853 |
|    clip_fraction        | 0.0736       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.499       |
|    explained_variance   | 0.632        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0241      |
|    n_updates            | 3150         |
|    policy_gradient_loss | -0.00954     |
|    value_loss           | 0.00558      |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 92.4        |
|    ep_rew_mean          | 0.179       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 317         |
|    time_elapsed         | 1147        |
|    total_timesteps      | 649216      |
| train/                  |             |
|    approx_kl            | 0.007635288 |
|    clip_fraction        | 0.0622      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.498      |
|    explained_variance   | 0.82        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0345     |
|    n_updates            | 3160        |
|    policy_gradient_loss | -0.00725    |
|    value_loss           | 0.00111     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 97.2        |
|    ep_rew_mean          | 0.15        |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 318         |
|    time_elapsed         | 1151        |
|    total_timesteps      | 651264      |
| train/                  |             |
|    approx_kl            | 0.005295851 |
|    clip_fraction        | 0.0743      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.497      |
|    explained_variance   | 0.675       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0237     |
|    n_updates            | 3170        |
|    policy_gradient_loss | -0.00657    |
|    value_loss           | 0.00457     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 96.8        |
|    ep_rew_mean          | 0.149       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 319         |
|    time_elapsed         | 1154        |
|    total_timesteps      | 653312      |
| train/                  |             |
|    approx_kl            | 0.006131345 |
|    clip_fraction        | 0.0837      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.584      |
|    explained_variance   | 0.684       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0291      |
|    n_updates            | 3180        |
|    policy_gradient_loss | -0.00303    |
|    value_loss           | 0.00498     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 99.3        |
|    ep_rew_mean          | 0.141       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 320         |
|    time_elapsed         | 1158        |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.019931741 |
|    clip_fraction        | 0.123       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.429      |
|    explained_variance   | 0.708       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0218     |
|    n_updates            | 3190        |
|    policy_gradient_loss | -0.0133     |
|    value_loss           | 0.00275     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 97.3         |
|    ep_rew_mean          | 0.141        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 321          |
|    time_elapsed         | 1162         |
|    total_timesteps      | 657408       |
| train/                  |              |
|    approx_kl            | 0.0043113437 |
|    clip_fraction        | 0.0395       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.459       |
|    explained_variance   | 0.559        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00726     |
|    n_updates            | 3200         |
|    policy_gradient_loss | -0.00286     |
|    value_loss           | 0.00378      |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 98.1         |
|    ep_rew_mean          | 0.117        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 322          |
|    time_elapsed         | 1165         |
|    total_timesteps      | 659456       |
| train/                  |              |
|    approx_kl            | 0.0076421564 |
|    clip_fraction        | 0.0926       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.455       |
|    explained_variance   | 0.817        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0126      |
|    n_updates            | 3210         |
|    policy_gradient_loss | -0.0115      |
|    value_loss           | 0.000934     |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 94.6        |
|    ep_rew_mean          | 0.127       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 323         |
|    time_elapsed         | 1169        |
|    total_timesteps      | 661504      |
| train/                  |             |
|    approx_kl            | 0.012780122 |
|    clip_fraction        | 0.0966      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.645      |
|    explained_variance   | 0.497       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00517    |
|    n_updates            | 3220        |
|    policy_gradient_loss | -0.00409    |
|    value_loss           | 0.0032      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 91.7        |
|    ep_rew_mean          | 0.136       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 324         |
|    time_elapsed         | 1173        |
|    total_timesteps      | 663552      |
| train/                  |             |
|    approx_kl            | 0.016174398 |
|    clip_fraction        | 0.0681      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.2        |
|    explained_variance   | 0.318       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0061     |
|    n_updates            | 3230        |
|    policy_gradient_loss | -0.00457    |
|    value_loss           | 0.00487     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 90.7         |
|    ep_rew_mean          | 0.158        |
| time/                   |              |
|    fps                  | 565          |
|    iterations           | 325          |
|    time_elapsed         | 1176         |
|    total_timesteps      | 665600       |
| train/                  |              |
|    approx_kl            | 0.0050369753 |
|    clip_fraction        | 0.0516       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.489       |
|    explained_variance   | 0.357        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00948     |
|    n_updates            | 3240         |
|    policy_gradient_loss | -0.00415     |
|    value_loss           | 0.0104       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 89.5        |
|    ep_rew_mean          | 0.165       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 326         |
|    time_elapsed         | 1180        |
|    total_timesteps      | 667648      |
| train/                  |             |
|    approx_kl            | 0.005500785 |
|    clip_fraction        | 0.0388      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.353      |
|    explained_variance   | 0.756       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0121      |
|    n_updates            | 3250        |
|    policy_gradient_loss | -0.00297    |
|    value_loss           | 0.00304     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 88.2        |
|    ep_rew_mean          | 0.188       |
| time/                   |             |
|    fps                  | 565         |
|    iterations           | 327         |
